page_no,review_no,artist,album,genre,author,publish_date,bnm,cover_art,url
3,10,Chucky73,Sie7etr3 EP,Rap,Matthew Ismael Ruiz,April 29 2020,No,https://media.pitchfork.com/photos/5ea7070dfbaf7a0008dcf29d/1:1/w_160/sie7tr3%20EP_sie7tr3.jpg,/reviews/albums/chucky73-fetti031-sie7etr3-ep/
3,11,Asher Roth,Flowers on the Weekend,Rap,Dani Blum ,April 27 2020,No,https://media.pitchfork.com/photos/5ea1c6c34e26030008ba4f00/1:1/w_160/Flowers%20on%20The%20Weekend_Asher%20Roth.jpg,/reviews/albums/asher-roth-flowers-on-the-weekend/
3,12,Zeroh,BLQLYTE,Rap,Sheldon Pearce,April 27 2020,No,https://media.pitchfork.com/photos/5ea1ca6ef1e7bf00092972c4/1:1/w_160/BLQLYTE_Zeroh.jpg,/reviews/albums/zeroh-blqlyte/
4,1,Quelle Chris,Innocent Country 2,Rap,Dean Van Nguyen,April 24 2020,No,https://media.pitchfork.com/photos/5e9f254b43b931000881dda8/1:1/w_160/Innocent%20Country%202_Quelle%20Chris.jpg,/reviews/albums/quelle-chris-innocent-country-2/
4,2,Serengeti,Ajai,Rap,Paul A. Thompson,April 22 2020,No,https://media.pitchfork.com/photos/5e94bb3583ce9a0008c4a90a/1:1/w_160/Ajai_Serengeti.jpg,/reviews/albums/serengeti-ajai/
4,3,Westside Gunn,Pray For Paris,Rap,Alphonse Pierre,April 21 2020,No,https://media.pitchfork.com/photos/5e99dc30e21e4f0009eaf086/1:1/w_160/prayforparis.jpg,/reviews/albums/westside-gunn-pray-for-paris/
4,4,DaBaby,Blame It on Baby,Rap,Dani Blum ,April 21 2020,No,https://media.pitchfork.com/photos/5e9de95a2071a50008c2bd34/1:1/w_160/Blame%20It%20On%20Baby_DaBaby.jpg,/reviews/albums/dababy-blame-it-on-baby/
4,5,Shabazz Palaces,The Don of Diamond Dreams,Rap,Nathan Smith,April 20 2020,No,https://media.pitchfork.com/photos/5e98ad3ce21e4f0009eaf07a/1:1/w_160/The%20Don%20of%20Diamond%20Dreams_Shabazz%20Palaces.jpg,/reviews/albums/shabazz-palaces-the-don-of-diamond-dreams/
4,6,Pink Siifu,Negro,Rap,Sheldon Pearce,April 15 2020,No,https://media.pitchfork.com/photos/5e90d39bac9e490008f40868/1:1/w_160/Negro_Pink%20Siifu.jpg,/reviews/albums/pink-siifu-negro/
4,7,22Gz,Growth & Development,Rap,Alphonse Pierre,April 15 2020,No,https://media.pitchfork.com/photos/5e95eb951a3ea30008764f2d/1:1/w_160/Growth%20and%20Development_22Gz.jpeg,/reviews/albums/22gz-growth-and-development/
4,8,Ghostie,Self Hate Wraith,Rap,Mano Sundaresan,April 10 2020,No,https://media.pitchfork.com/photos/5e8cc6f21a3ea30008764ef9/1:1/w_160/Self%20Hate%20Wraith_Ghostie.jpg,/reviews/albums/ghostie-self-hate-wraith/
4,9,NNAMDÃƒÆ’Ã‚Âè,BRAT,Experimental,Steven Arroyo,April 9 2020,No,https://media.pitchfork.com/photos/5e8c9fefecfafc0008428b25/1:1/w_160/BRAT_Nnamdi%CC%88.jpg,/reviews/albums/nnamdi-brat/
4,10,Rod Wave,Pray 4 Love,Rap,Alphonse Pierre,April 8 2020,No,https://media.pitchfork.com/photos/5e8b8531ffd4cb0008aae7f0/1:1/w_160/Pray%204%20Love_Rod%20Wave.jpg,/reviews/albums/rod-wave-pray-4-love/
4,11,Knxwledge,1988,Rap,Stephen Kearse,April 8 2020,No,https://media.pitchfork.com/photos/5e8b8a9d743ae60008d9dde8/1:1/w_160/1988_Knxwledge.jpg,/reviews/albums/knxwledge-1988/
4,12,Bankroll Fresh,In Bank We Trust,Rap,Jackson Howard,April 4 2020,No,https://media.pitchfork.com/photos/5e84fd511c7d5e0008fee825/1:1/w_160/In%20Bank%20We%20Trust_Bankroll%20Fresh.jpg,/reviews/albums/bankroll-fresh-in-bank-we-trust/
